"Case Number","Severity","Opened Date","Case Owner"
"203433","Sev-2: High","1/2/2017","Eric Thomas"
"203486","Sev-2: High","1/3/2017","Eric Thomas"
"203493","Sev-2: High","1/3/2017","Eric Thomas"
"203612","Sev-2: High","1/5/2017","Eric Thomas"
"203651","Sev-2: High","1/5/2017","Eric Thomas"
"203674","Sev-2: High","1/6/2017","Eric Thomas"
"203681","Sev-2: High","1/6/2017","Eric Thomas"
"203696","Sev-2: High","1/6/2017","Eric Thomas"
"203744","Sev-2: High","1/9/2017","Eric Thomas"
"203760","Sev-2: High","1/9/2017","Eric Thomas"
"203761","Sev-2: High","1/9/2017","Eric Thomas"
"203803","Sev-2: High","1/9/2017","Eric Thomas"
"203825","Sev-2: High","1/9/2017","Eric Thomas"
"203826","Sev-2: High","1/10/2017","Eric Thomas"
"203914","Sev-2: High","1/10/2017","Eric Thomas"
"203916","Sev-2: High","1/10/2017","Eric Thomas"
"203926","Sev-2: High","1/10/2017","Eric Thomas"
"203930","Sev-2: High","1/10/2017","Eric Thomas"
"203964","Sev-2: High","1/11/2017","Eric Thomas"
"203967","Sev-2: High","1/11/2017","Eric Thomas"
"203979","Sev-2: High","1/11/2017","Eric Thomas"
"204006","Sev-2: High","1/11/2017","Eric Thomas"
"204017","Sev-1: Mission Critical","1/11/2017","Eric Thomas"
"204102","Sev-2: High","1/13/2017","Eric Thomas"
"204104","Sev-2: High","1/13/2017","Eric Thomas"
"204135","Sev-2: High","1/13/2017","Eric Thomas"
"204153","Sev-2: High","1/13/2017","Eric Thomas"
"204156","Sev-2: High","1/13/2017","Eric Thomas"
"204165","Sev-1: Mission Critical","1/15/2017","Eric Thomas"
"204166","Sev-2: High","1/16/2017","Eric Thomas"
"204190","Sev-2: High","1/16/2017","Eric Thomas"
"204294","Sev-2: High","1/17/2017","Eric Thomas"
"204300","Sev-2: High","1/17/2017","Eric Thomas"
"204517","Sev-2: High","1/20/2017","Eric Thomas"
"204577","Sev-2: High","1/22/2017","Eric Thomas"
"204600","Sev-2: High","1/23/2017","Eric Thomas"
"204651","Sev-2: High","1/23/2017","Eric Thomas"
"204656","Sev-2: High","1/23/2017","Eric Thomas"
"204689","Sev-2: High","1/24/2017","Eric Thomas"
"204692","Sev-2: High","1/24/2017","Eric Thomas"
"204794","Sev-2: High","1/25/2017","Eric Thomas"
